LogID,lat,lon,alt,time
266,52.390843333,13.040106667,24.9,2023-01-20T15:33:14.000Z
267,52.390843333,13.040106667,24.9,2023-01-20T15:33:14.000Z
268,52.390863333,13.04,26.4,2023-01-20T15:33:19.000Z
269,52.39087,13.039978333,26.0,2023-01-20T15:33:20.000Z
270,52.39087,13.039978333,26.0,2023-01-20T15:33:20.000Z
271,52.390883333,13.039876667,29.8,2023-01-20T15:33:25.000Z
272,52.390883333,13.039835,30.7,2023-01-20T15:33:27.000Z
273,52.39088,13.039818333,31.2,2023-01-20T15:33:28.000Z
274,52.390878333,13.039761667,30.4,2023-01-20T15:33:31.000Z
275,52.390888333,13.039723333,30.0,2023-01-20T15:33:33.000Z
276,52.390896667,13.039686667,29.9,2023-01-20T15:33:35.000Z
277,52.3909,13.039645,31.0,2023-01-20T15:33:37.000Z
278,52.390898333,13.0396,29.9,2023-01-20T15:33:39.000Z
279,52.3909,13.039563333,29.5,2023-01-20T15:33:41.000Z
280,52.390905,13.039528333,28.9,2023-01-20T15:33:43.000Z
281,52.390898333,13.039501667,29.9,2023-01-20T15:33:45.000Z
282,52.390908333,13.039465,31.2,2023-01-20T15:33:47.000Z
283,52.390908333,13.039465,31.2,2023-01-20T15:33:47.000Z
284,52.390891667,13.039385,31.6,2023-01-20T15:33:51.000Z
285,52.390881667,13.039345,31.9,2023-01-20T15:33:53.000Z
286,52.390881667,13.039345,31.9,2023-01-20T15:33:53.000Z
287,52.390885,13.039255,29.5,2023-01-20T15:33:58.000Z
288,52.390898333,13.039218333,29.8,2023-01-20T15:34:00.000Z
289,52.390898333,13.039218333,29.8,2023-01-20T15:34:00.000Z
290,52.390941667,13.039196667,25.0,2023-01-20T15:34:04.000Z
291,52.390955,13.039186667,24.6,2023-01-20T15:34:06.000Z
292,52.39096,13.039186667,24.5,2023-01-20T15:34:07.000Z
293,52.391,13.039175,24.1,2023-01-20T15:34:10.000Z
294,52.391036667,13.039186667,22.9,2023-01-20T15:34:12.000Z
295,52.39106,13.039183333,22.0,2023-01-20T15:34:14.000Z
296,52.391076667,13.039176667,23.4,2023-01-20T15:34:16.000Z
297,52.391088333,13.039168333,25.8,2023-01-20T15:34:18.000Z
298,52.39108,13.039143333,32.4,2023-01-20T15:34:20.000Z
299,52.39108,13.039143333,32.4,2023-01-20T15:34:20.000Z
300,52.39113,13.039126667,35.6,2023-01-20T15:34:24.000Z
301,52.39115,13.039125,35.6,2023-01-20T15:34:26.000Z
302,52.39115,13.039125,35.6,2023-01-20T15:34:26.000Z
303,52.39118,13.039103333,35.6,2023-01-20T15:34:30.000Z
304,52.391203333,13.039093333,37.1,2023-01-20T15:34:32.000Z
305,52.391203333,13.039093333,37.1,2023-01-20T15:34:32.000Z
306,52.391271667,13.039058333,39.2,2023-01-20T15:34:37.000Z
307,52.391288333,13.039051667,41.6,2023-01-20T15:34:39.000Z
308,52.391288333,13.039051667,41.6,2023-01-20T15:34:39.000Z
309,52.391301667,13.039006667,46.9,2023-01-20T15:34:43.000Z
310,52.39131,13.03899,48.1,2023-01-20T15:34:45.000Z
311,52.391331667,13.038988333,48.9,2023-01-20T15:34:47.000Z
312,52.391351667,13.038988333,50.1,2023-01-20T15:34:49.000Z
313,52.391358333,13.038981667,53.7,2023-01-20T15:34:51.000Z
314,52.39139,13.039001667,54.5,2023-01-20T15:34:53.000Z
315,52.391411667,13.039008333,54.7,2023-01-20T15:34:55.000Z
316,52.391426667,13.039008333,55.9,2023-01-20T15:34:57.000Z
317,52.391436667,13.03898,56.5,2023-01-20T15:34:59.000Z
318,52.391436667,13.03898,56.5,2023-01-20T15:34:59.000Z
319,52.391501667,13.03906,57.3,2023-01-20T15:35:03.000Z
